,가격,평점,채널,날짜,제품명,리뷰
40,"107,160",평점5,VIVRE KOREA,19.06.25.,비브르 A9 PLUS,저희 친정 어머니께 선물로 사드렸습니다~^^ 항상 유선청소기 사용하시고 관절염 있으셔서사용하고 옮겨 놓을라면 무게가 있어서 힘들어하셨는데이 제품은 너무 가벼워서 무리가 없으시다고 하시네요~ 덕분에 효도했습니다 ㅎㅎ 어머니가 좋아하시는거보니 기분 좋네요 ^^
41,"107,160",평점5,VIVRE KOREA,19.08.11.,비브르 A9 PLUS,저희 집 청소기는 진짜 옛날 청소기에요 굵은 호수(?)가 달린 무겁고 오래 된 청소기였는데 작년에 물걸레 청소기를 샀다가 후회하고 일단 옛날 청소기를 고장 날 때 까진 쓰자 했는데 마침 고장이나서 하나 장만하게 됐어요!검색해보다가 이 청소기가 제일 먼저 눈에 띄었어요. 가격도 착하고 기능도 괜찮아보여서 주문했는데 결과는 진짜 대만족입니다..일단 가벼워서 제일 좋아요 수시로 청소기 밀고 있답니다ㅋㅋㅋ소음도 적고 흡입력도 좋고 다좋아요ㅠㅠ
42,"107,160",평점5,VIVRE KOREA,19.06.25.,비브르 A9 PLUS,집에 아기가 있어서 유선청소기를 사용하면 애기가 위험하게 전선을 만지고 있고 저 또한 선에 걸릴뻔한적도 셀수없고 이동하는데 불편하기도하고고민하다가 무선청소기 사야겠다 결심해 구매했네요무선이라 너무너무 만족하고 일단 애기가 전선만지는 위험도 없고먼지통보니 흡입력도 좋네요 ~~
43,"107,160",평점4,VIVRE KOREA,19.09.12.,비브르 A9 PLUS,흡입력은 약하긴 한데 어느정도는 예상했어서 괜찮아요. 안 무거워요! 무겁지 않은걸 찾다가 구매했는데만족합니다. 헤드가 잘 돌아가서 좋아요. 헤드폭이 좀 더 넓었으면 하네요. 소음은 그리 크지 않아요. 이점도 만족합니다. 힘들지 않고 소음 적은 세컨 청소기로 좋아요 만족합니다. 먼지통 비우기도 편해요.
44,"107,160",평점4,VIVRE KOREA,19.07.16.,비브르 A9 PLUS,후기가 엄청 좋아서 기대를 좀 햇엇어요. 가볍고 사용하기편하긴 하지만 세세히 고급스러움은 없고요~ 흡입력도 나름 쎄긴하지만~무선이라 어느정도 감안해야 할것같아요~ 가격대비는 괜찮은거같아요~앞으로도 잘 사용해볼게요~~
45,"107,160",평점4,VIVRE KOREA,19.09.19.,비브르 A9 PLUS,지금 충전해 테스팅 청소해 보았는데 소음 흡입력 무난하네요거치대는 안정적으로 수납이 않되 별로에요배터리가 탈착식인줄 알았는데 아니네요 수명이 다 되면 구매해 셀프교체 쉬운지 아님 a/s보내야 하는지 궁금하네요 교체비용도요?
46,"107,160",평점5,VIVRE KOREA,19.06.20.,비브르 A9 PLUS,아이들 두명 키우는 사람으로써 매일 치워도 치워도 집안이 더러워지기 일수였는데매시간 청소를 하다보니 팔이 너무 아파서 청소기도 바꿀때가 되었는데 가벼운 제품으로 보다보니 제일 가벼운 것 같아 구매했습니다~ 확실히 가벼워서 청소하는데 도움이 되는 제품이에요~잘쓸게요~ㅎ
47,"107,160",평점5,VIVRE KOREA,19.06.27.,비브르 A9 PLUS,"미세먼지때문에 바닥을 닦아도 닦아도 먼지가 있는게 느껴져서 손걸레로 닦고 그랬는데, 초미세먼지까지 빨아들여주는 청소기가 있어서 한 번 사봤네요^^! 먼지통과 필터도 쉽게 청소할 수 있어 불편함이 없을 것 같고 무엇보다 가벼워서 좋네요~ 구매 완전 만족합니다!!"
48,"107,160",평점5,VIVRE KOREA,19.07.14.,비브르 A9 PLUS,"차이슨 검색하다 비브로 A9이 상품평도좋고 디자인도 이뻐서 이걸로 선택했어요일단 화면과 마찬가지로 디자인은 아주맘에 들고 특히 엄청 가벼워요~엘지보다 더 가볍네요 ㅎㅎ단, 흡입력은 아주 강하진 않아요~그래도 집에 먼지청소하는데 지장없이아주 편하게 사용하고 있어요~♡"
49,"107,160",평점5,VIVRE KOREA,19.06.23.,비브르 A9 PLUS,택배를 받았을때 너무가벼워서 장난감인줄 알정도로 가벼워서 놀랐어요 진짜가벼워요정말 디자인 보고 많이 기대를 했던 저는 제품포장을 뜯고 조립하자마자 제가 본 그대로의 디자인이라 더더욱 마음에 들었습니다.충전방법도 간단하고 잘빨아들입니다ㅎ배송도빠르고 급하게주문했는데 잘사용하고있어요~^^
50,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,"하**트, 삼* ,엘* ,홈*러스 다 돌아다니면서 테스터용 밀고댕겨봤는데다들 영~.. 그 가격에 비하면 내키지않더라구용~~~돌다 돌다 지쳐서 그냥 저렴한맛에 구매해서 써보자 해서 구매했는데 완전 잘한 선택이라고 생각되네요 ㅋㅋㅋ~!제 주변사람들한테도 널리널리 홍보하고있어용~~ㅎㅎ"
51,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,사용한지 3일정도 지났습니다.제품이 전체적으로 되게 탄탄하고 수월하게 흡입되네요. 다른 무선청소기를 사용해봤지만 충전 시간이 너무 오래걸려 스트레스받곤했는데 충전시간도 다른 무선청소기에 비하면 짧은 것 같네요. 만족스럽습니다^^
52,"107,160",평점5,VIVRE KOREA,19.06.22.,비브르 A9 PLUS,청소기 소음이 강아지들한테 괴로울까봐 걱정되고 ㅠㅠ그렇다고 청소기를 안돌릴수도없고 ㅠㅠ아가들한텐 늘 미안해만했는데 A9 플러스? 사고 소음이 확실히 덜하니 견주 입장에선한결 마음이 편하네요!  견주 분들은 모두 공감하실 것 같아 추천드리고싶어 리뷰 남깁니다~
53,"107,160",평점4,비브르샵,20.08.25.,비브르 A9 PLUS,배송은 거의 로켓배송이고 상품도 생각보다 가볍고 성능도 좋고 한데 혼자 서있지를 못하네요.. 거치대도 다 분리해서 놔둬야한다는걸 1도 생각못했어요.. 그거빼고는 다 만족합니다 ㅎㅎ 아직 파워모드는 안켜봤는데 굳이 안켜도 흡입력이 좋아요 동영상 참고하세요
54,"107,160",평점1,G마켓,20.07.18.,비브르 A9 PLUS,이건머 장난하는것도아니고 사용2틀만에 이물질제거하려고 뚜껑깟더니 연결하는부분도부러지네요 고객이힘쌔게줫다 설명서같은 레시피같은소리마시고 이건 새로검수후에 재배송해주시던지 환불요청바랍니다 전화5번 한후 안받으시닌깐 글남깁니다
55,"107,160",평점5,VIVRE KOREA,19.06.12.,비브르 A9 PLUS,배송 너무 빠르구 일단 디자인이 너무 예뻐서 마음에 드네요.사용했는데 소리는 작은거같고 개인적으로 흡입력도 왠만한 유선청소기랑 다른건 못느끼겠고 처음 무선청소기 사용해보는건데 가격에 비해 너무 좋은거같네요. 만족입니다.번창하세요 ㅇ~
56,"107,160",평점5,VIVRE KOREA,19.06.26.,비브르 A9 PLUS,역시 무선은 무선이라 정말 편하고 좋네요 저번 청소기는 매번 코드 선 때문에 청소할때 매번 짜증났었는데 정말 사람들이 무선 청소기 쓰는 이유가 있었어요ㅋㅋ 그리고 무엇보다 배송이 정말 빨라서 만족했습니다 이제 청소할 맛 나겠어요!!
57,"107,160",평점5,VIVRE KOREA,19.06.24.,비브르 A9 PLUS,본가에서 독립하면서 하나 샀어요~ 자취방에선 청소기가 필요없을 줄 알았는데 고양이 털 때문에ㅎㅎ..  무선청소기는 유선청소기보다 흡입력이 떨어진다는 얘기 때문에 본가에선 유선청소기만 썼었는데 그렇지도 않네요 고양이털에 파묻혀 살았었는데 해결됐어요 진작 살 걸...ㅋㅋㅋ 빠른 배송 감사합니다! 좋은 제품 많이 만들어주세요ㅎㅎ!
58,"107,160",평점5,VIVRE KOREA,19.06.21.,비브르 A9 PLUS,너무 부드럽게 밀리는거같아서 조으네요^^워낙 깔끔한 성격이라 평소 청소를 잘해 마루바닥엔 먼지는 많이 없을테지만 요기나는 브러쉬들 덕분에 침대며 창틀이며 더 꼼꼼히 해서 상~쾌~~하네요~~제 만족도는 5점 만점입니다!!!
59,"107,160",평점5,VIVRE KOREA,19.12.01.,비브르 A9 PLUS,생각보다 가볍고 간편하네요. 소리가 조금 크긴 하지만 불편할 정도는 아니구요 LED램프 있어서 먼지가 잘 보여서 더 열심히 청소하게 되는 것 같아요.안전하고 빠르게 배송해주셔서 감사드려요.
80,"107,160",평점5,VIVRE KOREA,19.06.12.,비브르 A9 PLUS,빠른 배송 감사요제품 바로 조립하고 대충 밀어봤는데사실 흡입력은 별 기대안했는데 좋아요색상이나 슬림한 디자인때문에라도 자주 사용할거 같네요
81,"107,160",평점5,VIVRE KOREA,19.07.19.,비브르 A9 PLUS,무선인데도 꽤 세네요.500회는 거뜬히 쓸 수 있다고 나왔던데 한번 두고 볼일입니다.긴 봉 말고 짧은 봉을 꽂고 청소하면 거뜬하다는 느낌이 들 정도로 착용감은 좋습니다.
82,"107,160",평점3,VIVRE KOREA,19.07.25.,비브르 A9 PLUS,싸서 그런지 별로구여 싼티가 확나고 약해보여요 가격은 적당해요 싼맛에 사는거면 추천이고요 좋은거 사려면 다른제품을 사세요
83,"107,160",평점5,VIVRE KOREA,19.06.26.,비브르 A9 PLUS,가성비 최고의 청소기 같아요... 그립감도 좋고 흡입력도 좋아요 생각보다 소음도 그리 크지 않아서 너무 좋았어요. 포장도 엄청 꼼꼼하게 왔고 배송도 빨라서 좋았네요!
84,"107,160",평점5,VIVRE KOREA,19.07.21.,비브르 A9 PLUS,"빠른 배송, 우수한 품질, 견고한 포장이 너무나 만족스럽습니다. 또한, 가격대비 강력한 흡입력으로 어디에서나 사용할 수 있는 청소기라 너무 좋네요."
85,"107,160",평점5,VIVRE KOREA,19.07.04.,비브르 A9 PLUS,생각했던거 보단 개인적으론 팔 힘이 없어 그런지 다소 무겁게 느껴지지만 무선청소기라 편하게 사용하기 좋을 듯 싶네요.판매자님도 친절하시네요.
86,"107,160",평점5,VIVRE KOREA,19.06.20.,비브르 A9 PLUS,"신나서 받자마자 침대, 쇼파, 바닥 청소 다하고 다녔어요~ 처음엔 흡입력 좋은건가 생각이 들었지만 먼지통에 먼지 쌓인거 보고  깜짝 놀랐습니닿ㅎㅎ"
87,"107,160",평점4,옥션,20.10.06.,비브르 A9 PLUS,다이슨 비교하심 안돼요. 저렴하게 편하게 사용하는 무선청소기로 아주 좋습니다. 파워는 좀 약하고 거치대는 음.. 쓸모가 없네요.  강성비로는 만족합니다. 10분의 1가격으로 만족
88,"107,160",평점5,VIVRE KOREA,19.07.18.,비브르 A9 PLUS,무선 청소기를 이가격에 살수 있다는것도 좋았지만상품 받아서 조립도 쉅게 했고바로 사용 했어요충전이 되 있더라구요흡인력도 좋고 소음은 작아서맘에 들어요
89,"107,160",평점5,VIVRE KOREA,19.06.18.,비브르 A9 PLUS,사용시간도긴편이고 일단저는개인적으로 필터가맘에드네요 ^^ 흡입력도 좋아요더사용해봐야 알겠지만 지금은 너무만족합니다...번창하세요...
90,"107,160",평점5,VIVRE KOREA,19.06.21.,비브르 A9 PLUS,친구랑 같이 공동 구매 한건데~~둘다 너무 만족스러버용~흡입력 좋고 디자인이 너무 예쁘네요~ 요근래 본 청소기중 제일 이쁜듯해요 ㅎㅎ!주부 둘은 만족하고 갑니닷~~
91,"107,160",평점4,VIVRE KOREA,20.01.15.,비브르 A9 PLUS,빠른 배송에 놀랐어요 무선 디자인이라 정말 편리해요 생각만큼 흡입력이 뛰어나지 않았지만 가격대비 잘 구입한것 같아요
92,"107,160",평점5,인터파크,19.07.18.,비브르 A9 PLUS,뜯자마자 사용해보았습니다~ 묵은먼지까지 흡입은 못하는것 같지만 그래도 청소하기 알맞고 크기도 적당해서 좋네요~ 가성비 짱인듯 합니다~
